,deviceName,microserviceName,tempLatency,finallyLatency
0,edge0,wafer-auto,15.284809112548828,15.284809112548828
1,edge2,wafer-statis,13.067972183227539,11.351016998291016
2,edge2,wafer-cnn,9.06322956085205,9.06322956085205
3,edge0,wafer-svm,5.950206279754639,5.950206279754639
4,edge1,wafer-ensemble,22.536638259887695,16.636516571044922
5,edge1,fault-losso,21.58871841430664,5.436777114868164
6,edge1,fault-knn,2.891596555709839,1.7949594259262085
7,edge1,fault-svm,2.023921012878418,1.7064073085784912
8,edge2,fault-xgboost,2.1502504348754883,1.9102997779846191
9,edge1,fault-ensemble,3.1500210762023926,3.1500210762023926
