,deviceName,microserviceName,tempLatency,finallyLatency
0,edge2,fault-losso,11.292140007019043,12.38930892944336
1,edge0,wafer-auto,19.781064987182617,19.781064987182617
2,edge2,wafer-statis,12.180392265319824,12.180392265319824
3,edge1,fault-knn,3.258053779602051,3.0090396404266357
4,edge1,fault-svm,3.3256587982177734,2.9809398651123047
5,edge2,fault-xgboost,3.0914931297302246,3.0914931297302246
6,edge1,wafer-cnn,14.549266815185547,18.98943519592285
7,edge0,wafer-svm,8.086105346679688,8.086105346679688
8,edge1,fault-ensemble,2.524702548980713,2.3609323501586914
9,edge1,wafer-ensemble,23.14273452758789,23.14273452758789
