,deviceName,microserviceName,tempLatency,finallyLatency
0,edge2,fault-losso,6.0586371421813965,0.97422856092453
1,edge2,fault-knn,1.560560703277588,1.7033474445343018
2,edge2,fault-svm,1.7033474445343018,1.7033474445343018
3,edge2,fault-xgboost,1.6992089748382568,1.6992089748382568
4,edge1,fault-ensemble,23.93113136291504,3.012726068496704
5,edge0,wafer-auto,9.781085014343262,9.781085014343262
6,edge1,wafer-statis,55.67314910888672,10.556236267089844
7,edge1,wafer-cnn,59.07865905761719,24.719253540039062
8,edge0,wafer-svm,22.5137939453125,21.747272491455078
9,edge1,wafer-ensemble,5.905842304229736,5.905842304229736
