,deviceName,microserviceName,tempLatency,finallyLatency
0,edge0,wafer-auto,11.897181510925293,11.897181510925293
1,edge2,wafer-statis,15.207123756408691,11.182511329650879
2,edge1,wafer-cnn,37.88755416870117,15.938040733337402
3,edge0,wafer-svm,25.65387725830078,23.631805419921875
4,edge2,wafer-ensemble,14.559578895568848,42.71971893310547
5,edge1,fault-losso,12.811762809753418,9.534850120544434
6,edge1,fault-knn,4.7239909172058105,4.569441318511963
7,edge1,fault-svm,4.218426704406738,5.710545063018799
8,edge2,fault-xgboost,8.540523529052734,7.94011926651001
9,edge1,fault-ensemble,2.554253578186035,2.554253578186035
