,deviceName,microserviceName,tempLatency,finallyLatency
0,edge2,fault-losso,9.772477149963379,10.59714412689209
1,edge1,wafer-auto,21.82674789428711,21.202857971191406
2,edge1,wafer-statis,17.607227325439453,23.82313346862793
3,edge2,fault-knn,7.988531112670898,17.159576416015625
4,edge0,fault-svm,7.69742488861084,15.43631649017334
5,edge2,fault-xgboost,7.182382106781006,16.445903778076172
6,edge1,wafer-cnn,52.47736358642578,65.68585968017578
7,edge0,wafer-svm,40.31538391113281,53.475830078125
8,edge1,fault-ensemble,2.591665744781494,2.688530445098877
9,edge2,wafer-ensemble,33.06230163574219,33.06230163574219
