,deviceName,microserviceName,tempLatency,finallyLatency
0,edge2,fault-losso,8.758520126342773,4.399727821350098
1,edge1,wafer-auto,1.6381241083145142,1.3770543336868286
2,edge2,wafer-statis,5.702610969543457,5.702610969543457
3,edge1,fault-knn,1.643359661102295,1.4815340042114258
4,edge1,fault-svm,1.3430875539779663,1.482951283454895
5,edge2,fault-xgboost,1.244226098060608,1.244226098060608
6,edge1,wafer-cnn,1.3851450681686401,1.7622312307357788
7,edge0,wafer-svm,3.3731560707092285,3.3731560707092285
8,edge1,fault-ensemble,2.64101243019104,2.64101243019104
9,cloud,wafer-ensemble,8.744332313537598,8.744332313537598
