,deviceName,microserviceName,tempLatency,finallyLatency
0,edge2,fault-losso,6.7553629875183105,12.381125450134277
1,edge0,wafer-auto,11.293638229370117,11.293638229370117
2,edge2,wafer-statis,18.43303108215332,18.43303108215332
3,edge1,fault-knn,4.296822547912598,6.606853485107422
4,edge1,fault-svm,4.440860271453857,6.09849739074707
5,edge2,fault-xgboost,14.98914623260498,14.98914623260498
6,edge1,wafer-cnn,55.75040054321289,32.01455307006836
7,edge0,wafer-svm,16.7659912109375,16.7659912109375
8,edge1,fault-ensemble,2.858732223510742,2.365152359008789
9,edge1,wafer-ensemble,11.498188972473145,11.498188972473145
