,deviceName,microserviceName,tempLatency,finallyLatency
0,edge2,fault-losso,10.957239151000977,5.615606784820557
1,edge1,wafer-auto,2.6105997562408447,1.7917529344558716
2,edge2,wafer-statis,7.5655293464660645,7.5655293464660645
3,edge1,fault-knn,1.8894166946411133,1.801573634147644
4,edge1,fault-svm,1.6564189195632935,1.797023892402649
5,edge2,fault-xgboost,1.6417479515075684,1.6417479515075684
6,edge1,wafer-cnn,0.8125253319740295,1.0706971883773804
7,edge0,wafer-svm,5.21010160446167,5.21010160446167
8,edge1,fault-ensemble,2.625515937805176,2.625515937805176
9,cloud,wafer-ensemble,9.089009284973145,9.089009284973145
