,deviceName,microserviceName,tempLatency,finallyLatency
0,edge0,wafer-auto,9.596822738647461,9.596822738647461
1,edge2,wafer-statis,17.709014892578125,12.861248970031738
2,edge2,wafer-cnn,32.06004333496094,32.06004333496094
3,edge0,wafer-svm,20.280738830566406,20.280738830566406
4,edge1,wafer-ensemble,15.33767032623291,12.182004928588867
5,edge1,fault-losso,9.083574295043945,6.490579605102539
6,edge1,fault-knn,1.7257072925567627,4.662755489349365
7,edge1,fault-svm,0.832716166973114,4.197450637817383
8,edge2,fault-xgboost,4.401956558227539,9.024412155151367
9,edge1,fault-ensemble,2.5688438415527344,2.5688438415527344
