,deviceName,microserviceName,tempLatency,finallyLatency
0,edge2,fault-losso,6.7553629875183105,13.06535816192627
1,edge1,fault-knn,4.167577743530273,6.504865646362305
2,edge1,fault-svm,3.6890504360198975,5.996509552001953
3,edge2,fault-xgboost,8.640445709228516,14.411575317382812
4,edge1,fault-ensemble,3.0444161891937256,2.3801987171173096
5,edge1,wafer-auto,8.823798179626465,7.6590189933776855
6,edge1,wafer-statis,13.429374694824219,13.429374694824219
7,edge2,wafer-cnn,36.937984466552734,36.937984466552734
8,edge0,wafer-svm,33.20882034301758,33.20882034301758
9,cloud,wafer-ensemble,14.998998641967773,14.998998641967773
