,deviceName,microserviceName,tempLatency,finallyLatency
0,edge2,fault-losso,3.7436294555664062,6.987398624420166
1,edge0,fault-knn,5.4569091796875,7.572718620300293
2,edge1,fault-svm,6.323925018310547,7.5471062660217285
3,edge2,fault-xgboost,11.91058349609375,15.87540054321289
4,edge2,fault-ensemble,3.0567190647125244,2.9442062377929688
5,edge1,wafer-auto,22.700849533081055,14.876334190368652
6,edge1,wafer-statis,23.57288360595703,18.386777877807617
7,edge1,wafer-cnn,25.15809440612793,25.15809440612793
8,edge0,wafer-svm,30.413957595825195,30.413957595825195
9,edge2,wafer-ensemble,22.2999324798584,22.2999324798584
