,totalLatency
0,1.002560578140927
1,1.0499506934404277
2,1.002560578140927
3,1.0713725969877985
4,1.0183129771252146
5,1.032624260223412
6,0.9852341449239114
7,1.032624260223412
8,0.9776765027388163
,totalLatency
0,1.0713725969877985
1,1.032624260223412
,totalLatency
0,1.0499506934404277
1,1.002560578140927
2,1.0713725969877985
3,0.9852341449239114
4,1.032624260223412
,totalLatency
0,1.0499506934404277
1,1.002560578140927
2,1.0499506934404277
3,1.0713725969877985
4,1.032624260223412
,totalLatency
0,1.0499506934404277
,totalLatency
0,1.0499506934404277
1,1.002560578140927
,totalLatency
0,1.002560578140927
1,1.0499506934404277
2,1.002560578140927
3,1.0713725969877985
4,1.0183129771252146
5,1.032624260223412
6,0.9776765027388163
,totalLatency
0,1.0499506934404277
1,1.002560578140927
2,1.0499506934404277
3,1.0713725969877985
4,1.032624260223412
,totalLatency
0,1.0499506934404277
1,1.002560578140927
2,1.0499506934404277
3,1.002560578140927
4,1.0713725969877985
5,1.0713725969877985
6,1.0183129771252146
7,0.9852341449239114
8,1.032624260223412
9,0.9852341449239114
,totalLatency
0,1.0183129771252146
1,1.0713725969877985
2,1.0183129771252146
3,1.032624260223412
4,0.9852341449239114
5,0.9852341449239114
6,0.9776765027388163
,totalLatency
0,1.1614269702682243
1,1.0183129771252146
2,1.3825238048419295
3,1.0183129771252146
4,1.1062914892724611
5,1.1565180101063455
6,1.1062914892724611
7,0.9852341449239114
8,1.3465823231298093
9,0.9852341449239114
10,0.9776765027388163
11,0.9252914892724612
12,1.2888277105929473
13,0.9246168828762324
14,1.2888277105929473
15,0.9776765027388163
,totalLatency
0,1.2116534911021088
1,1.0713725969877985
2,1.3825238048419295
3,1.1565180101063455
4,1.3465823231298093
5,1.032624260223412
,totalLatency
0,1.2116534911021088
1,1.1614269702682243
2,1.2116534911021088
3,1.1614269702682243
4,1.0499506934404277
5,1.002560578140927
6,1.363908756346825
7,1.002560578140927
8,1.363908756346825
9,1.0499506934404277
10,1.002560578140927
11,1.0713725969877985
12,1.0183129771252146
13,1.3825238048419295
14,1.0713725969877985
15,1.0183129771252146
16,1.3825238048419295
17,1.0713725969877985
18,1.0183129771252146
19,1.1565180101063455
20,1.1062914892724611
21,1.1565180101063455
22,1.1062914892724611
23,1.032624260223412
24,0.9852341449239114
25,1.3465823231298093
26,1.032624260223412
27,0.9852341449239114
28,1.3465823231298093
29,1.032624260223412
30,0.9852341449239114
31,0.9776765027388163
32,0.9252914892724612
33,1.2888277105929473
34,0.9776765027388163
35,0.9246168828762324
36,1.2888277105929473
37,0.9776765027388163
,totalLatency
0,1.0499506934404277
1,1.0499506934404277
2,1.0713725969877985
3,1.032624260223412
,totalLatency
0,1.2116534911021088
1,1.1614269702682243
2,1.2116534911021088
3,1.0499506934404277
4,1.002560578140927
5,1.363908756346825
