,totalLatency
0,147.3202804660797
1,25.257421336174012
2,166.68492577552794
3,25.017862434387208
4,30.024955887794494
5,55.49833117961884
6,18.203410692214966
7,26.691236090660095
8,104.39895375728607
0,17.526010632514954
1,15.091787881851197
0,68.8783376789093
1,15.028499307632446
2,40.01749645233154
3,12.203061990737915
4,13.115156526565551
0,151.00902143478393
1,110.1540583705902
2,89.39034087657929
3,140.91376025676726
0,116.79053863048553
1,144.14157989025117
2,116.84161836624145
3,117.97456625461578
0,114.87784697055817
1,117.2715649843216
2,116.63469675540924
3,116.06564066886902
4,116.89573246002197
0,116.21196494579316
1,116.53396075248719
2,118.24511341571808
3,117.37907133579255
4,155.97427479743956
0,99.24762577533721
1,17.573508291244508
2,113.3378666639328
3,15.006334080696107
4,56.20471205234528
5,16.705923552513124
0,24.208469705581663
1,55.96423766136169
2,59.84483131408692
3,55.1377294254303
4,21.808577690124512
5,65.94135967731476
6,52.82416512489319
7,20.516415824890135
8,18.690974206924437
9,26.21613187789917
10,74.83105513095856
11,61.29295778274536
12,36.94740716934204
13,26.903250045776367
14,17.19964738368988
15,27.434633383750917
0,18.391146421432495
1,17.686252460479736
2,17.687384276390077
3,14.198899631500245
0,15.375962204933167
1,16.231217589378357
2,14.454620518684386
3,15.446222519874572
4,18.1302960062027
5,16.32864637374878
6,59.2544798707962
7,38.958349890708924
8,20.233599281311037
9,29.671438488960266
10,64.37873355865479
11,85.37644474506378
12,57.21055869102478
13,27.32229392051697
14,22.139479541778563
15,23.39236033439636
16,122.20888737678528
17,88.39215639591217
18,82.9151537322998
19,75.06933547496796
20,54.299174942970275
21,13.537126560211181
22,28.125719633102417
23,78.9150115442276
24,61.04254696369171
25,22.006316075325014
26,16.7492187166214
27,23.70648738861084
28,85.59157156944275
29,66.73947536468506
30,69.83961843967438
31,24.72964695930481
32,11.767071604728699
33,31.401361336708067
34,95.08146705150604
35,75.21321778297424
36,57.713674459457394
37,31.550508913993834
0,99.096437458992
1,70.28586186408997
2,59.728160028457644
3,21.72668117046356
0,7.919528403282166
1,7.755534620285034
2,21.193641057014464
3,8.218148913383484
4,8.510612845420837
5,7.9567800760269165
0,22.674134225845336
1,23.54745225429535
2,24.257939081192017
3,23.269823279380798
4,19.384287929534914
5,21.022053527832032
6,19.591174535751342
7,19.012593207359313
8,19.174907417297362
9,20.682023024559022
0,26.991362285614013
1,26.431080017089844
2,26.793569765090943
3,25.649496126174927
4,26.07882043838501
5,25.568686051368715
6,19.5192520236969
7,21.102475872039793
8,20.508779549598692
9,20.10479218006134
0,21.11590231895447
1,21.551882548332216
2,21.52036781787872
3,15.209918217658997
0,42.041245784759525
0,10.090642971992493
1,9.700893926620484
2,9.296324515342713
3,10.37892702102661
0,40.580733799934386
0,10.997154717445374
0,117.64930126190185
1,117.19704173088074
2,116.86153270721435
3,117.97688734531403
4,117.19019119739532
5,118.00839496135711
6,118.38786967277527
7,116.78153696060181
8,116.79375148773194
9,116.98673812866211
0,116.80405400276184
1,117.85289760589599
2,117.67334560394288
3,118.17348672866821
4,117.76059022903442
5,117.47323570251464
6,117.6070517396927
7,116.99092408657074
8,117.26508329868317
9,117.59237902164459
0,117.13220414638519
1,115.76049795627594
2,116.5879105758667
3,117.60039424419404
0,118.63276851177216
0,20.867291116714476
1,20.968689374923706
2,18.170888590812684
3,28.354342398643492
4,17.32676954269409
5,18.75750826358795
6,16.631687936782836
7,15.066358733177186
8,17.435891313552858
9,16.418083324432374
0,19.518313550949095
1,19.31254623889923
2,19.685319752693175
0,23.663560662269592
1,24.690856952667236
2,23.77677676677704
3,18.342047233581543
4,19.895266089439392
5,18.81991942882538
6,18.54016348361969
7,20.255270323753358
8,17.660183439254762
0,33.239363865852354
1,20.242099685668947
2,20.657863044738768
3,19.52602862358093
4,20.80360234260559
5,19.11672945022583
6,16.50498167037964
7,16.644284491539
8,15.38020555973053
0,18.675974922180174
1,19.833458166122437
2,19.478447313308717
0,10.12760184764862
1,9.820585670471191
2,9.651123275756836
3,10.39433569908142
0,8.408654775619507
0,8.954804306030274
1,8.936584477424622
2,7.949602689743042
3,8.729670662879943
4,9.161295237541198
5,8.695357937812805
6,8.944238348007202
7,9.804120626449585
8,9.801219701766968
0,8.876229104995728
1,9.233951544761657
2,9.144765005111694
