,totalLatency
0,71.46940183639526
1,7.689090275764466
2,71.0070568561554
3,7.7646566271781925
4,26.231802320480348
5,37.42535308599472
6,6.663644206523895
7,24.38886317014694
8,51.948126220703124
0,5.676501858234405
1,5.019232428073883
0,60.507735347747804
1,4.958052635192871
2,72.88423821926116
3,37.22783778905868
4,166.02269127368928
5,4.707480776309967
6,4.9097355008125305
7,160.25241347551346
8,69.84506160020828
0,103.53646903038025
1,63.57771880626679
2,31.21629204750061
3,70.60427060127259
4,125.24660464525223
0,64.56799858808517
0,132.81824781894684
1,71.56649398803711
2,137.2451293706894
0,158.78173753023148
1,49.77875308990478
2,80.60937086343765
3,50.042705833911896
4,54.45936124324798
5,50.23581351041794
6,49.97702548503876
7,50.37990529537201
0,49.60008962154389
1,50.114565467834474
2,50.005109059810636
3,50.08027696609497
4,49.9673054933548
0,49.98317321538925
1,50.03222219944
2,50.551069712638856
3,50.03003339767456
4,87.70200074911118
5,64.8650320649147
6,78.49675687551499
7,70.77395933866501
8,169.81904549598693
9,93.19311908483505
10,88.140844810009
0,78.45301538705826
1,91.80919953584672
2,78.24814127683639
3,96.55054131746292
4,5.974363338947296
5,86.6929259777069
6,5.424858784675598
7,44.87990900278091
8,5.731518578529358
0,7.609885394573212
1,22.670360338687896
2,60.032249176502226
3,57.10771014690399
4,7.23975967168808
5,42.57304706573486
6,45.920465683937074
7,12.146723198890687
8,6.758341038227082
9,7.014003920555115
10,44.07407348155975
11,48.03671602010727
12,27.844807827472685
13,25.788528645038603
14,6.616705846786499
15,7.021556723117828
0,6.421380424499512
1,6.095188534259796
2,6.29945650100708
3,5.531129610538483
4,204.65671079158784
5,157.9270748972893
6,83.24940170049668
0,5.677110171318054
1,5.876325905323029
2,5.428053784370422
3,5.683322560787201
4,6.113609158992768
5,5.632518076896668
6,50.325141274929045
7,40.58934190273285
8,5.739317047595978
9,6.131258249282837
10,10.150022089481354
11,89.26009633541108
12,64.53338452577592
13,28.6288925409317
14,6.064331412315369
15,5.786838936805725
16,103.25541554689407
17,75.00029220581055
18,86.55116626024247
19,77.69949492216111
20,57.077129101753236
21,5.028921794891358
22,5.0366332769393924
23,69.30845022201538
24,57.42480970621109
25,23.474657559394835
26,5.706158518791199
27,5.403433918952942
28,46.13559163808823
29,34.74626092910766
30,56.54063750505448
31,26.95688828229904
32,4.856673002243042
33,5.009918642044068
34,53.173142921924594
35,51.25597161054611
36,54.068010199069974
37,31.666272222995758
0,93.65012626647949
1,60.497152757644656
2,63.58966511487961
3,3.274412453174591
4,10.459052991867065
0,3.0448974847793577
1,3.061081326007843
2,11.928665935993195
3,3.110898518562317
4,3.116177237033844
5,3.115372121334076
0,7.8737096905708315
1,7.9341915369033815
2,8.023477625846862
3,7.890894269943237
4,7.300730121135712
5,7.491583251953125
6,7.155531084537506
7,7.420684909820556
8,7.0945201992988585
9,7.3888403415679935
0,8.024914836883545
1,8.289195597171783
2,8.291906261444092
3,8.481440806388855
4,7.839499688148498
5,8.504595172405242
6,7.265790283679962
7,8.723387241363525
8,7.37955265045166
9,6.978832674026489
0,6.710175395011902
1,6.894944834709167
2,7.040842437744141
3,5.834651136398316
0,19.60271681547165
0,3.7039486527442933
1,3.6623944997787476
2,3.4618595957756044
3,3.546028435230255
0,18.288702511787413
0,3.898657429218292
0,50.721919465065
1,50.39729949235916
2,50.012124145030974
3,50.56910257339477
4,50.076313769817354
5,50.51565941572189
6,50.680892813205716
7,50.04128202199936
8,50.11063317060471
9,50.15262223482132
0,50.22986540794373
1,50.6172555565834
2,50.44226816892624
3,50.546404612064364
4,50.53893067836761
5,50.284438371658325
6,50.34808033704758
7,50.23927680253983
8,50.25421054363251
9,50.40933343172073
0,50.079662191867826
1,49.74155406951904
2,50.23755122423172
3,50.35504065752029
0,51.38976830244064
0,7.668717789649963
1,7.425125241279602
2,7.010640072822571
3,14.448269164562225
4,6.725581622123718
5,7.013211953639984
6,6.490709483623505
7,6.61619211435318
8,6.734649360179901
9,6.731617295742035
0,7.185703921318054
1,7.330720770359039
2,7.320282626152038
0,7.76876870393753
1,8.220847272872925
2,7.88078191280365
3,7.540815389156341
4,7.416619837284088
5,7.569482922554016
6,7.373346221446991
7,7.731234002113342
8,7.262205469608307
0,16.344400095939637
1,6.854991841316223
2,6.575084984302521
3,6.822006261348724
4,6.6588503360748295
5,6.44888207912445
6,6.556072866916656
7,6.494482922554016
8,6.25686936378479
0,7.009794902801514
1,7.3649573802948
2,7.2382602334022526
0,3.449438726902008
1,3.4797417283058167
2,3.611045241355896
3,3.2543744325637816
0,4.814738607406616
0,3.546221911907196
1,3.4991892695426943
2,3.4416836738586425
3,3.4742753386497496
4,3.5121484756469727
5,3.4011247038841246
6,3.410296380519867
7,3.4850701570510862
8,3.639127862453461
0,3.731155276298523
1,3.7382563233375548
2,4.086430501937866
