,totalLatency
0,119.07759681344032
1,18.762503814697265
2,144.5034719467163
3,18.659694582223892
4,27.219248741865158
5,52.447284734249116
6,13.811313486099243
7,24.39654537439346
8,90.19390641450882
0,12.921601951122284
1,11.215593004226685
0,67.03909958600998
1,10.897877043485641
2,38.74642469882965
3,9.105577725172044
4,9.603477942943574
0,137.14338403344155
1,94.47812754511833
2,74.12350323200226
3,123.27456684708595
4,180.54749835133552
0,94.02476531863212
1,121.30368336439133
2,94.07625558376313
3,107.84312571883201
4,94.99800711274148
0,92.44083832502365
1,94.43705793023109
2,93.86785327792168
3,93.45060163140298
4,94.09671015739441
0,93.5608952820301
1,93.83923190236092
2,95.24426937103271
3,94.45735957026481
4,135.48512439727784
5,113.93246392011642
6,119.79005470871925
7,201.56597517728807
0,97.27956632375717
1,13.168464356660843
2,107.5175711274147
3,11.264981985092163
4,52.767997932434085
5,12.41634847521782
0,17.86892193555832
1,47.130002218484876
2,60.09989076256752
3,55.29180380105972
4,17.73448532819748
5,62.01825824379921
6,51.71368693113327
7,16.41574457883835
8,13.958185809850693
9,17.97875419855118
10,69.6373925447464
11,59.673679143190384
12,35.40440987944603
13,24.55986832976341
14,12.991034203767777
15,15.846260392665863
0,13.528260576725007
1,13.112927842140198
2,13.006218993663788
3,10.582785487174988
4,201.04799128770827
5,124.40452245473861
0,11.054383057355881
1,11.953231513500214
2,10.381185394525527
3,11.424458009004592
4,13.269279676675797
5,12.034183341264725
6,57.9142763376236
7,38.97644671201706
8,12.287030971050262
9,21.24517775774002
10,47.18326412439346
11,86.18236611485482
12,58.673151737451555
13,26.349331259727478
14,13.713732254505157
15,18.002428030967714
16,119.2048776447773
17,86.3319554388523
18,83.30183916091919
19,75.2944659769535
20,54.56198017597198
21,9.602555817365646
22,17.393065905570985
23,77.09865972995757
24,60.22523787021637
25,21.1719442486763
26,12.51156252026558
27,12.697298562526703
28,77.26229029297829
29,61.894890040159225
30,67.31701936125755
31,24.55473992228508
32,8.78948454260826
33,22.327752304077148
34,87.92185904383659
35,71.49078683257103
36,56.885106176137924
37,32.02192155718804
0,96.81771726608277
1,67.63777687549592
2,31.968898522853852
3,18.001966857910155
0,5.642210459709167
1,5.504066079854965
2,18.144067507982253
3,5.8764441967010494
4,6.0775827944278715
5,5.715904515981674
0,16.93905468583107
1,17.796630764007567
2,18.182692682743074
3,17.572070950269698
4,14.788526350259781
5,15.921341717243195
6,14.981728607416153
7,14.428717303276063
8,14.654640346765518
9,15.646396392583847
0,19.390455371141435
1,19.732324331998825
2,19.72128883600235
3,19.419631272554398
4,19.399700111150743
5,19.114573895931244
6,14.774407708644867
7,16.01474893093109
8,15.606869572401047
9,15.14243117570877
0,15.712468647956848
1,16.00599973797798
2,16.011935752630233
3,11.429164123535156
0,33.2425430059433
0,7.216823536157608
1,6.983162033557892
2,6.608336770534516
3,7.481371891498566
0,31.671330165863036
0,8.141661220788956
0,94.96319109797477
1,94.45519397854805
2,94.15077644586563
3,95.11860257983207
4,94.37670580744744
5,95.13742824792863
6,95.37936519384384
7,94.09340078830719
8,94.11476687788964
9,94.24262074232101
0,94.10788723230363
1,94.96336662769318
2,94.83781130313874
3,95.19031095504761
4,94.90086450576783
5,94.57764039635659
6,94.77038623690605
7,94.24941774010658
8,94.51936328411102
9,94.7669873058796
0,94.34860889315605
1,93.21319464445114
2,93.8911955833435
3,94.73505443930625
0,95.82635092139245
0,15.784423100948334
1,15.74751449227333
2,13.53959264755249
3,24.834983032941818
4,12.987305539846421
5,14.18735716342926
6,12.548397189378738
7,11.558069515228272
8,13.266601145267487
9,12.6297707259655
0,14.721012490987778
1,14.524114060401917
2,14.937433576583862
0,17.45360585451126
1,18.21296505331993
2,17.52127885222435
3,14.081863749027253
4,14.827667039632797
5,14.310039341449738
6,14.019978469610214
7,15.289810383319855
8,13.41602133512497
0,27.21564906835556
1,15.07644110918045
2,14.952499401569366
3,14.459599483013154
4,15.158831846714019
5,14.00063697695732
6,12.514419341087342
7,12.576346004009247
8,11.685321766138077
0,13.969904685020447
1,14.735146862268447
2,14.456205785274506
0,7.416629493236542
1,7.231497430801392
2,7.099565815925598
3,7.370151889324188
0,6.4344675719738005
0,6.678732603788376
1,6.354510033130646
2,5.732696443796158
3,6.338667178153992
4,6.079193818569183
5,6.395191335678101
6,6.374213486909866
7,7.0700716316699985
8,7.034852069616318
0,6.537735366821289
1,6.792709803581237
2,6.809290212392807
